date,cloud_cover,sunshine,global_radiation,max_temp,mean_temp,min_temp,precipitation,pressure,snow_depth,rain_tomorrow,sin_doy,cos_doy,sin_woy,cos_woy,precipitation_roll3_mean,precipitation_roll3_std,pressure_roll3_mean,pressure_roll3_std,cloud_cover_roll3_mean,cloud_cover_roll3_std
1984-11-04,4.0,5.5,71.0,9.0,7.8,4.5,0.0,101050.0,0.0,1,-0.8214765533024145,0.5702422926917866,-0.8229838658936566,0.5680647467311555,2.666666666666666,4.446721638840561,101020.0,216.56407827723586,4.0,1.0000000000000098
1984-11-05,7.0,1.0,36.0,11.0,7.5,6.0,6.0,100560.0,0.0,1,-0.8115390590073611,0.5842981736283682,-0.7485107481711012,0.6631226582407952,2.066666666666666,3.407834111768479,100943.33333333333,342.685472895191,4.666666666666667,2.08166599946614
1984-11-06,7.0,0.0,21.0,13.9,8.6,6.2,0.9,99940.0,0.0,1,-0.8013610881746766,0.5981809144059165,-0.7485107481711012,0.6631226582407952,2.2999999999999994,3.235737937472616,100516.66666666667,556.2673218277358,6.0,1.7320508075688934
1984-11-07,6.0,2.5,48.0,16.0,10.4,6.9,0.6,100240.0,0.0,1,-0.7909456567567775,0.6118864012687241,-0.7485107481711012,0.6631226582407952,2.4999999999999996,3.034798181098629,100246.66666666667,310.0537587796731,6.666666666666667,0.5773502691896849
1984-11-08,7.0,1.7,41.0,15.6,12.8,9.7,1.8,99940.0,0.0,1,-0.7802958510707756,0.6254105729852463,-0.7485107481711012,0.6631226582407952,1.0999999999999994,0.6244997998394322,100040.0,173.20508075709424,6.666666666666667,0.5773502691896849
1984-11-09,8.0,0.5,28.0,14.3,12.1,8.6,0.7,100000.0,0.0,0,-0.7694148268839383,0.6387494220515267,-0.7485107481711012,0.6631226582407952,1.0333333333333328,0.6658328118475549,100060.0,158.74507866410076,7.0,1.000000000000037
1984-11-10,5.0,6.6,71.0,15.0,12.0,9.8,0.0,101110.0,0.0,0,-0.7583058084785627,0.6518989958787124,-0.7485107481711012,0.6631226582407952,0.8333333333333327,0.9073771725874603,100350.0,658.8626564012196,6.666666666666667,1.5275252316519692
1984-11-11,7.0,0.4,26.0,15.7,10.4,5.7,0.0,101400.0,0.0,1,-0.7469720876965558,0.6648553979642859,-0.7485107481711012,0.6631226582407952,0.23333333333333273,0.4041451884320658,100836.66666666667,738.9406832306656,6.666666666666667,1.5275252316519692
1984-11-12,7.0,0.6,28.0,11.0,13.0,10.2,6.8,100640.0,0.0,1,-0.7354170229639858,0.6776147890466887,-0.6631226582407955,0.7485107481711009,2.266666666666666,3.925981830489396,101050.0,383.5361782153888,6.333333333333333,1.1547005383792786
1984-11-13,8.0,0.0,18.0,12.3,9.6,8.1,0.1,100780.0,0.0,0,-0.7236440382959131,0.6901733882429714,-0.6631226582407955,0.7485107481711009,2.2999999999999994,3.8974350539809564,100940.0,404.4749683232159,7.333333333333333,0.5773502691896948
1984-11-14,7.0,0.8,29.0,4.5,10.4,8.5,0.0,99980.0,0.0,0,-0.7116566222817751,0.7025274741691566,-0.6631226582407955,0.7485107481711009,2.2999999999999994,3.8974350539809564,100466.66666666667,427.23919920040294,7.333333333333333,0.5773502691896948
1984-11-15,4.0,0.0,18.0,7.9,3.0,1.4,0.0,99980.0,0.0,1,-0.6994583270516471,0.7146733860429609,-0.6631226582407955,0.7485107481711009,0.03333333333333274,0.057735026914198864,100246.66666666667,461.88021535177626,6.333333333333333,2.0816659994661477
1984-11-16,7.0,0.0,17.0,6.6,4.8,1.6,7.6,99590.0,0.0,1,-0.6870527672236669,0.7266075247685657,-0.6631226582407955,0.7485107481711009,2.5333333333333328,4.387862045841104,99850.0,225.1666049841135,6.0,1.732050807568894
1984-11-17,8.0,0.0,17.0,8.5,5.0,3.3,0.8,99960.0,0.0,1,-0.6744436188329457,0.7383263540031063,-0.6631226582407955,0.7485107481711009,2.7999999999999994,4.176122603564167,99843.33333333333,219.62088546721952,6.333333333333333,2.0816659994661477
1984-11-18,7.0,3.2,45.0,8.7,6.8,5.0,0.2,99770.0,0.0,0,-0.6616346182422783,0.7498264012045687,-0.6631226582407955,0.7485107481711009,2.866666666666666,4.110150037812841,99773.33333333333,185.02252115189935,7.333333333333333,0.5773502691896948
1984-11-19,6.0,4.5,52.0,11.9,6.8,5.0,0.0,100190.0,0.0,1,-0.6486295610349817,0.7611042586607744,-0.5680647467311558,0.8229838658936564,0.33333333333333276,0.4163331998925782,99973.33333333333,210.31722072480537,7.0,1.0000000000000366
1984-11-20,5.0,3.1,43.0,13.4,6.4,0.9,4.4,100660.0,0.0,1,-0.6354323008901774,0.7721565844991642,-0.5680647467311558,0.8229838658936564,1.533333333333333,2.4846193538111314,100206.66666666667,445.23402086251775,6.0,1.0000000000000275
1984-11-21,6.0,4.3,50.0,12.7,8.4,3.5,7.5,99970.0,0.0,1,-0.6220467484408679,0.7829801036770625,-0.5680647467311558,0.8229838658936564,3.9666666666666663,3.7687309977408763,100273.33333333333,352.4674925910221,5.666666666666667,0.5773502691896684
